Model,OF Method,ROI,Name,CV,MAE,RMSE,Rho
EfficientPhys,Coarse2Fine,Body,25% Train Size,0,2.32307,4.711994,0.672866
EfficientPhys,Coarse2Fine,Body,25% Train Size,1,5.296224,7.492278,0.432596
EfficientPhys,Coarse2Fine,Body,25% Train Size,2,5.192486,9.530613,0.441292
EfficientPhys,Coarse2Fine,Body,25% Train Size,3,3.363037,4.992482,0.646984
EfficientPhys,Coarse2Fine,Body,25% Train Size,4,5.101103,7.316057,0.330436
EfficientPhys,Coarse2Fine,Body,25% Train Size,5,7.318359,10.644002,0.193648
EfficientPhys,Coarse2Fine,Body,50% Train Size,0,2.005974,4.135886,0.760935
EfficientPhys,Coarse2Fine,Body,50% Train Size,1,3.570964,6.190128,0.525635
EfficientPhys,Coarse2Fine,Body,50% Train Size,2,3.931949,7.687437,0.606948
EfficientPhys,Coarse2Fine,Body,50% Train Size,3,2.557373,5.2814,0.648364
EfficientPhys,Coarse2Fine,Body,50% Train Size,4,5.158548,7.666738,0.263182
EfficientPhys,Coarse2Fine,Body,50% Train Size,5,6.832031,9.083921,0.00134
EfficientPhys,Coarse2Fine,Body,75% Train Size,0,1.81296,4.584255,0.708044
EfficientPhys,Coarse2Fine,Body,75% Train Size,1,6.894531,9.787378,0.162701
EfficientPhys,Coarse2Fine,Body,75% Train Size,2,2.879575,5.805837,0.756832
EfficientPhys,Coarse2Fine,Body,75% Train Size,3,2.618408,4.308857,0.771764
EfficientPhys,Coarse2Fine,Body,75% Train Size,4,5.296415,7.894716,0.22752
EfficientPhys,Coarse2Fine,Body,75% Train Size,5,5.009766,6.555303,0.321521
EfficientPhys,Coarse2Fine,Body,100% Train Size,0,1.89568,3.802092,0.80041
EfficientPhys,Coarse2Fine,Body,100% Train Size,1,5.390625,8.067021,0.284604
EfficientPhys,Coarse2Fine,Body,100% Train Size,2,2.929688,6.22207,0.733905
EfficientPhys,Coarse2Fine,Body,100% Train Size,3,2.246094,3.58463,0.826989
EfficientPhys,Coarse2Fine,Body,100% Train Size,4,5.124081,8.248341,0.340916
EfficientPhys,Coarse2Fine,Body,100% Train Size,5,4.634766,5.704847,0.482925
VIRENet,Coarse2Fine,Body,25% Train Size,0,1.702665,4.195035,0.762784
VIRENet,Coarse2Fine,Body,25% Train Size,1,7.773438,10.591809,0.04406
VIRENet,Coarse2Fine,Body,25% Train Size,2,3.523335,7.839022,0.543211
VIRENet,Coarse2Fine,Body,25% Train Size,3,1.867676,3.922847,0.811222
VIRENet,Coarse2Fine,Body,25% Train Size,4,6.048943,9.848539,0.286234
VIRENet,Coarse2Fine,Body,25% Train Size,5,7.605469,10.474195,-0.20019
VIRENet,Coarse2Fine,Body,50% Train Size,0,3.894761,7.056194,0.266503
VIRENet,Coarse2Fine,Body,50% Train Size,1,8.854167,11.696267,0.079368
VIRENet,Coarse2Fine,Body,50% Train Size,2,2.7408,5.860242,0.778622
VIRENet,Coarse2Fine,Body,50% Train Size,3,2.557373,4.26548,0.753368
VIRENet,Coarse2Fine,Body,50% Train Size,4,4.40602,7.211681,0.401709
VIRENet,Coarse2Fine,Body,50% Train Size,5,5.712891,9.455314,-0.009602
VIRENet,Coarse2Fine,Body,75% Train Size,0,2.929688,5.551056,0.573904
VIRENet,Coarse2Fine,Body,75% Train Size,1,7.460938,10.975624,0.000432
VIRENet,Coarse2Fine,Body,75% Train Size,2,3.808594,8.350353,0.498415
VIRENet,Coarse2Fine,Body,75% Train Size,3,0.872803,1.680319,0.969018
VIRENet,Coarse2Fine,Body,75% Train Size,4,5.445772,8.471197,0.25223
VIRENet,Coarse2Fine,Body,75% Train Size,5,6.556641,9.335458,0.111352
VIRENet,Coarse2Fine,Body,100% Train Size,0,1.599265,3.83541,0.800075
VIRENet,Coarse2Fine,Body,100% Train Size,1,5.576172,9.16102,0.109234
VIRENet,Coarse2Fine,Body,100% Train Size,2,3.303608,6.947308,0.648722
VIRENet,Coarse2Fine,Body,100% Train Size,3,1.5625,3.027541,0.887987
VIRENet,Coarse2Fine,Body,100% Train Size,4,4.871324,7.405455,0.339162
VIRENet,Coarse2Fine,Body,100% Train Size,5,6.105469,9.665482,-0.126869
DeepPhys,Coarse2Fine,Body,25% Train Size,0,1.778493,3.82592,0.796666
DeepPhys,Coarse2Fine,Body,25% Train Size,1,9.694011,12.343765,-0.212274
DeepPhys,Coarse2Fine,Body,25% Train Size,2,3.689093,7.736568,0.612816
DeepPhys,Coarse2Fine,Body,25% Train Size,3,1.12915,2.289331,0.936492
DeepPhys,Coarse2Fine,Body,25% Train Size,4,5.664062,9.330013,-0.124794
DeepPhys,Coarse2Fine,Body,25% Train Size,5,6.908203,8.889369,-0.044093
DeepPhys,Coarse2Fine,Body,50% Train Size,0,2.350643,4.877939,0.65751
DeepPhys,Coarse2Fine,Body,50% Train Size,1,9.212239,12.117483,-0.101274
DeepPhys,Coarse2Fine,Body,50% Train Size,2,3.195672,7.005424,0.699522
DeepPhys,Coarse2Fine,Body,50% Train Size,3,1.098633,2.295182,0.933812
DeepPhys,Coarse2Fine,Body,50% Train Size,4,5.394072,8.156111,0.192497
DeepPhys,Coarse2Fine,Body,50% Train Size,5,4.546875,6.002071,0.299949
DeepPhys,Coarse2Fine,Body,75% Train Size,0,1.654412,3.817465,0.801214
DeepPhys,Coarse2Fine,Body,75% Train Size,1,8.222656,11.377519,0.056121
DeepPhys,Coarse2Fine,Body,75% Train Size,2,4.221063,6.89984,0.63478
DeepPhys,Coarse2Fine,Body,75% Train Size,3,1.416016,3.133191,0.884583
DeepPhys,Coarse2Fine,Body,75% Train Size,4,5.399816,9.00396,0.094479
DeepPhys,Coarse2Fine,Body,75% Train Size,5,4.511719,6.7774,0.293591
DeepPhys,Coarse2Fine,Body,100% Train Size,0,1.709559,3.88147,0.798398
DeepPhys,Coarse2Fine,Body,100% Train Size,1,7.750651,10.971757,0.062228
DeepPhys,Coarse2Fine,Body,100% Train Size,2,3.554173,7.19557,0.654086
DeepPhys,Coarse2Fine,Body,100% Train Size,3,1.239014,2.400661,0.927025
DeepPhys,Coarse2Fine,Body,100% Train Size,4,5.221737,7.97035,0.323217
DeepPhys,Coarse2Fine,Body,100% Train Size,5,6.087891,8.521212,-0.035769
TS-CAN,Coarse2Fine,Body,25% Train Size,0,3.232996,5.161183,0.600397
TS-CAN,Coarse2Fine,Body,25% Train Size,1,8.04362,11.166128,0.022177
TS-CAN,Coarse2Fine,Body,25% Train Size,2,3.608141,7.941789,0.589314
TS-CAN,Coarse2Fine,Body,25% Train Size,3,1.245117,2.535069,0.920917
TS-CAN,Coarse2Fine,Body,25% Train Size,4,5.882353,9.563217,0.076114
TS-CAN,Coarse2Fine,Body,25% Train Size,5,8.783203,12.928323,-0.287617
TS-CAN,Coarse2Fine,Body,50% Train Size,0,1.923254,3.831722,0.800387
TS-CAN,Coarse2Fine,Body,50% Train Size,1,6.516927,9.459761,0.132506
TS-CAN,Coarse2Fine,Body,50% Train Size,2,3.226511,7.176476,0.604846
TS-CAN,Coarse2Fine,Body,50% Train Size,3,2.679443,4.534119,0.751083
TS-CAN,Coarse2Fine,Body,50% Train Size,4,6.192555,9.779173,0.081613
TS-CAN,Coarse2Fine,Body,50% Train Size,5,8.332031,12.548231,-0.073442
TS-CAN,Coarse2Fine,Body,75% Train Size,0,2.095588,4.912182,0.678131
TS-CAN,Coarse2Fine,Body,75% Train Size,1,6.184896,9.084971,0.278257
TS-CAN,Coarse2Fine,Body,75% Train Size,2,3.523335,7.684645,0.633175
TS-CAN,Coarse2Fine,Body,75% Train Size,3,1.330566,2.553342,0.918719
TS-CAN,Coarse2Fine,Body,75% Train Size,4,12.5,15.183474,-0.283362
TS-CAN,Coarse2Fine,Body,75% Train Size,5,4.875,8.135674,0.087993
TS-CAN,Coarse2Fine,Body,100% Train Size,0,3.295037,7.131636,0.374196
TS-CAN,Coarse2Fine,Body,100% Train Size,1,8.968099,11.822901,-0.029092
TS-CAN,Coarse2Fine,Body,100% Train Size,2,3.91653,8.481859,0.400425
TS-CAN,Coarse2Fine,Body,100% Train Size,3,1.281738,2.92113,0.890565
TS-CAN,Coarse2Fine,Body,100% Train Size,4,6.261489,8.824987,0.207041
TS-CAN,Coarse2Fine,Body,100% Train Size,5,7.253906,10.612103,-0.163199